addr_state,sum_loaned,avg_loan,avg_annual_inc,avg_fico_range_low,avg_fico_range_high
AK,56732375,18160.171254801535,83439.78122919334,703.6859795134443,707.6866197183099
AL,254276600,15362.288545190913,74896.05448888356,704.4701546640889,708.4703359110681
AR,164267700,14716.690557247804,69378.50389715105,705.5433614047662,709.543630173804
AZ,547049825,15324.812309157633,78341.23426142253,703.4794240412359,707.4797041768215
CA,3219450525,16317.704817078733,89297.91474176118,704.3414276880658,708.3416760433456
CO,492435100,15887.565736409098,80967.3848004517,705.5479916115503,709.5484110340377
CT,384386850,16055.588738983333,90211.48960360889,704.2483605530261,708.2486529384737
DC,50771975,16912.716522318453,102401.22115256495,705.8760826115923,709.8774150566289
DE,66614875,15868.240828966174,79442.17444973798,705.22153406384,709.2220104811815
FL,1675257525,15399.427551086068,77295.71702721836,702.7039535973968,706.704183404267
GA,776013675,16147.104080401174,82552.8941397033,703.0224307621882,707.0227012630309
HI,107049900,16981.26586294416,82213.11566941622,703.1146890862944,707.1151649746192
ID,74155375,14905.603015075378,70048.53803216078,700.6321608040201,704.6325628140703
IL,944336575,16198.994356388088,83607.09293347738,704.7502401536983,708.7505489227391
IN,378110575,15270.40810144986,72956.93010298454,704.5054723153346,708.5057550179719
KS,184818000,15609.628378378378,75598.24097804051,708.1258445945946,712.125929054054
KY,211491525,14950.623851265374,72680.20189311467,705.4425279230878,709.4426693058108
LA,241239425,15410.720902005876,78736.23814041138,706.1744602018654,710.1747796090456
MA,543348625,16192.294224579808,86051.15998629155,705.4234712123018,709.4240970318274
MD,583888125,16613.21700904797,92208.65487736872,702.6458202924941,706.6462186308542
ME,72455450,15072.90409819014,70177.70741210735,704.8377366340753,708.8381526939879
MI,554810650,14947.615647816365,75270.09813481689,703.9877953498396,707.9880108845003
MN,376565400,15430.478610063923,77918.8488079823,705.3907146369447,709.3908785445009
MO,351264825,15129.638842227678,73072.0529960805,706.0619373734763,710.0624542361201
MS,139630050,15100.037850113551,74519.90434303018,703.9823726614037,707.9826970909484
MT,59383950,14742.78798411122,68093.3009061569,707.8525322740815,711.8530287984112
NC,623941400,15599.314965748288,77069.48750162504,704.833991699585,708.8343167158358
ND,50972900,16135.770813548592,77831.38664134222,705.5698005698006,709.5704336815448
NE,103123550,14704.627121060887,68463.43065592472,704.1216312562384,708.1216312562384
NH,114743325,15516.33874239351,82108.2615483435,705.8390804597701,709.8396213657877
NJ,872096450,16571.589138448675,94948.05387204044,704.2974955345267,708.2977995667541
NM,115878425,15541.634254291845,74503.23674222101,705.7148605150214,709.7152628755365
NV,331094300,15303.642246360065,77201.41485879365,702.8659579385255,706.8662352669286
NY,1810580250,15578.36806511564,85414.55751669181,705.8443608893172,709.8447050523127
OH,709560625,14980.378858252756,72631.72741629023,704.4107587721151,708.4109910062069
OK,209842000,15822.801990649978,75941.25905217916,706.4070275976475,710.4070275976475
OR,270910650,15135.518744063915,72381.87026258452,704.080674898039,708.0808425051679
PA,727522175,15358.289529237914,77483.99423770318,705.3277390753642,709.3281823939202
RI,99000875,14916.509718246196,80044.7902184722,702.8491788458641,706.8496308573151
SC,294352375,15678.724565888995,77071.67902578032,704.419676147864,708.4198892084798
SD,44233050,15231.76652892562,70825.4432231405,705.9418044077134,709.9421487603306
TN,368526025,15222.058033870302,74213.59896902104,705.053903345725,709.0540272614622
TX,1997904700,16359.640201762144,85820.97754372598,704.9929170351446,708.9930971799155
UT,152471300,16059.753528544345,78465.99007478407,705.3465346534654,709.3466399831473
VA,663206850,17061.738828432506,92059.24997067223,705.1305600576266,709.1309202233027
VT,48538750,14180.178206251825,69956.029287175,706.8331872626351,710.8334794040316
WA,495394575,16286.23101453087,82405.27405812351,703.1111512919981,707.1112827930831
WI,295614575,15317.611016114824,72280.12635369707,706.463029172496,710.4633400694337
WV,99052350,15833.17615089514,75356.90787084398,706.0302109974425,710.030530690537
WY,46296150,16522.537473233406,73670.52509992862,708.1156316916488,712.1156316916488
